title,authors,year,journal,abstract,author_keywords,keywords_plus,doi,ut,source_query,title_norm,first_author,dedup_key,source_query_all,dup_rank
Talker normalization in typical Cantonese-speaking listeners and congenital amusics: Evidence from event-related potentials,"Shao, J; Zhang, CC",2019,NEUROIMAGE-CLINICAL,"Despite the lack of invariance in the mapping between the acoustic signal and phonological representation, typical listeners are capable of using information of a talker's vocal characteristics to recognize phonemes, a process known as ""talker normalization"". The current study investigated the time course of talker normalization in typical listeners and individuals with congenital amusia, a neurodevelopmental disorder of refined pitch processing. We examined the event-related potentials (ERPs) underling lexical tone processing in 24 Cantonese-speaking amusics and 24 typical listeners (controls) in two conditions: blocked-talker and mixed-talker conditions. The results demonstrated that for typical listeners, effects of talker variability can be observed as early as in the N1 time-window (100-150 ms), with the N1 amplitude reduced in the mixed-talker condition. Significant effects were also found in later components: the N2b/c peaked significantly earlier and the P3a and P3b amplitude was enhanced in the blocked-talker condition relative to the mixed-talker condition, especially for the tone pair that is more difficult to discriminate. These results suggest that the blocked-talker mode of stimulus presentation probably facilitates auditory processing and requires less attentional effort with easier speech categorization than the mixed-talker condition, providing neural evidence for the ""active control theory"". On the other hand, amusics exhibited comparable N1 amplitude to controls in both conditions, but deviated from controls in later components. They demonstrated overall later N2b/c peak latency significantly reduced P3a amplitude in the blocked-talker condition and reduced P3b amplitude irrespective of talker conditions. These results suggest that the amusic brain was intact in the auditory processing of talker normalization processes, as reflected by the comparable N1 amplitude, but exhibited reduced automatic attentional switch to tone changes in the blocked-talker condition, as captured by the reduced P3a amplitude, which presumably underlies a previously reported perceptual ""anchoring"" deficit in amusics. Altogether, these findings revealed the time course of talker normalization processes in typical listeners and extended the finding that conscious pitch processing is impaired in the amusic brain.",,,10.1016/j.nicl.2019.101814,WOS:000485804400006,"TS=(""processing"" AND ""intonation"" AND ""tone"")",talker normalization in typical cantonese speaking listeners and congenital amusics evidence from event related potentials,"Shao, J",doi:10.1016/j.nicl.2019.101814,"TS=(""lexical tone"" AND (recognition OR perception)) | TS=(""processing"" AND ""intonation"" AND ""tone"") | TS=(""representation"" AND (""intonation"" OR ""prosody"")) | TS=(intonation AND (""lexical tone"" OR ""tone perception""))",2
The affective iconicity of lexical tone: Evidence from standard Chinesea),"Zheng, TT; Levelt, CC; Chen, YY",2025,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,"Previous studies suggested that pitch characteristics of lexical tones in Standard Chinese influence various sensory perceptions, but whether they iconically bias emotional experience remained unclear. We analyzed the arousal and valence ratings of bi-syllabic words in two corpora (Study 1) and conducted an affect rating experiment using a carefully designed corpus of bi-syllabic words (Study 2). Two-alternative forced-choice tasks further tested the robustness of lexical tones' affective iconicity in an auditory nonce word context (Study 3). Hierarchical linear models, generalized linear mixed models, and cross-validation were employed to understand the relationship between lexical tones and the emotional responses of tone-carrying words. Results consistently indicated that words with a falling-falling tonal sequence, both real and nonce words, received higher arousal ratings than those with rising-rising and rising-low tones. Only in nonce words, the high-high sequence was more likely to be associated with the low-arousal option; the falling-falling tone sequence was more often linked to negative-valence choice, while high-high and rising-rising tones with positive-valence. These findings, though subtle, suggest that the use of pitch in lexical tones influences emotional responses during the processing of tone-carrying words, pointing to an inherent iconic quality in lexical tones that may subtly shape speakers' emotional experiences.",,,10.1121/10.0034863,WOS:001405930900002,"TS=(""processing"" AND ""intonation"" AND ""tone"")",the affective iconicity of lexical tone evidence from standard chinesea,"Zheng, TT",doi:10.1121/10.0034863,"TS=(""lexical tone"" AND (recognition OR perception)) | TS=(""processing"" AND ""intonation"" AND ""tone"") | TS=(intonation AND (""lexical tone"" OR ""tone perception""))",2
Melodic Pitch Perception and Lexical Tone Perception in Mandarin-Speaking Cochlear Implant Users,"Tao, DD; Deng, R; Jiang, Y; Galvin, JJ; Fu, QJ; Chen, B",2015,EAR AND HEARING,"Objectives: To examine the relationship between lexical tone perception and melodic pitch perception in Mandarin-speaking cochlear implant (CI) users and to investigate the influence of previous acoustic hearing on CI users' speech and music perception. Design: Lexical tone perception and melodic contour identification (MCI) were measured in 21 prelingual and 11 postlingual young (aged 6-26 years) Mandarin-speaking CI users. Lexical tone recognition was measured for four tonal patterns: tone 1 (flat F0), tone 2 (rising F0), tone 3 (falling-rising F0), and tone 4 (falling F0). MCI was measured using nine five-note melodic patterns that contained changes in pitch contour, as well as different semitone spacing between notes. Results: Lexical tone recognition was generally good (overall mean = 81% correct), and there was no significant difference between subject groups. MCI performance was generally poor (mean = 23% correct). MCI performance was significantly better for postlingual (mean = 32% correct) than for prelingual CI participants (mean = 18% correct). After correcting for outliers, there was no significant correlation between lexical tone recognition and MCI performance for prelingual or postlingual CI participants. Age at deafness was significantly correlated with MCI performance only for postlingual participants. CI experience was significantly correlated with MCI performance for both prelingual and postlingual participants. Duration of deafness was significantly correlated with tone recognition only for prelingual participants. Conclusions: Despite the prevalence of pitch cues in Mandarin, the present CI participants had great difficulty perceiving melodic pitch. The availability of amplitude and duration cues in lexical tones most likely compensated for the poor pitch perception observed with these CI listeners. Previous acoustic hearing experience seemed to benefit postlingual CI users' melodic pitch perception. Longer CI experience was associated with better MCI performance for both subject groups, suggesting that CI users' music perception may improve as they gain experience with their device.",,,10.1097/aud.0000000000000086,WOS:000346911200011,"TS=(""processing"" AND ""intonation"" AND ""tone"")",melodic pitch perception and lexical tone perception in mandarin speaking cochlear implant users,"Tao, DD",doi:10.1097/aud.0000000000000086,"TS=(""lexical tone"" AND (recognition OR perception)) | TS=(""processing"" AND ""intonation"" AND ""tone"") | TS=(intonation AND (""lexical tone"" OR ""tone perception""))",2
Post-low bouncing in Mandarin Chinese: Acoustic analysis and computational modeling,"Prom-on, S; Liu, F; Xu, Y",2012,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,"Post-low bouncing is a phenomenon whereby after reaching a very low pitch in a low lexical tone, F-0 bounces up and then gradually drops back in the following syllables. This paper reports the results of an acoustic analysis of the phenomenon in two Mandarin Chinese corpora and presents a simple mechanical model that can effectively simulate this bouncing effect. The acoustic analysis shows that most of the F-0 dynamic features profiling the bouncing effect strongly correlate with the amount of F-0 lowering in the preceding low-tone syllable, and that the additional F-0 raising commences at the onset of the first post-low syllable. Using the quantitative Target Approximation model, this bouncing effect was simulated by adding an acceleration adjustment to the initial F-0 state of the first post-low syllable. A highly linear relation between F-0 lowering and estimated acceleration adjustment was found. This relation was then used to effectively simulate the bouncing effect in both the neutral tone and the full tones. The results of the analysis and simulation are consistent with the hypothesis that the bouncing effect is due to a temporary perturbation of the balance between antagonistic forces in the laryngeal control in producing a very low pitch. (C) 2012 Acoustical Society of America. [http://dx.doi.org/10.1121/1.4725762]",,,10.1121/1.4725762,WOS:000306362200050,"TS=(""processing"" AND ""intonation"" AND ""tone"")",post low bouncing in mandarin chinese acoustic analysis and computational modeling,"Prom-on, S",doi:10.1121/1.4725762,"TS=(""lexical tone"" AND (recognition OR perception)) | TS=(""processing"" AND ""intonation"" AND ""tone"") | TS=(intonation AND (""lexical tone"" OR ""tone perception""))",2
Reduced Context Effect on Lexical Tone Normalization in Children with Autism Spectrum Disorder: A Speech-Specific Mechanism,"Kuang, C; Chen, F; Yan, JT; Peng, G",2025,JOURNAL OF AUTISM AND DEVELOPMENTAL DISORDERS,"Existing literature has demonstrated that individuals with autism spectrum disorder (ASD) exhibit atypical use of contextual information in their surroundings. However, there is limited understanding regarding their integration of contextual cues in speech processing. This study aims to explore how Mandarin-speaking children with and without ASD identify lexical tones in speech and nonspeech contexts, and to determine whether the size of context effect would be modulated by children's cognitive abilities. Twenty-five children with ASD and 25 typically developing (TD) children were asked to identify Mandarin lexical tones preceded by three types of contexts (speech, nonspeech, and nonspeech-flattened contexts). We also tested child participants' verbal intelligence, nonverbal intelligence, and working memory capacity. Results revealed that the context effect was only observed in the speech contexts, where Mandarin-speaking children with ASD exhibited a reduced context effect compared to TD children. Moreover, TD children with higher verbal intelligence demonstrated a diminished context effect. However, nonverbal intelligence and working memory capacity were not significantly associated with the size of context effect in either group. These findings revealed a subtle yet important difference between ASD and TD children's utilization of speech contexts in lexical tone identification, and validated a speech-specific mechanism underpinning children's lexical tone normalization.",,,10.1007/s10803-025-06775-2,WOS:001438996300001,"TS=(""processing"" AND ""intonation"" AND ""tone"")",reduced context effect on lexical tone normalization in children with autism spectrum disorder a speech specific mechanism,"Kuang, C",doi:10.1007/s10803-025-06775-2,"TS=(""lexical tone"" AND (recognition OR perception)) | TS=(""processing"" AND ""intonation"" AND ""tone"") | TS=(intonation AND (""lexical tone"" OR ""tone perception""))",2
Just-Noticeable Differences of Fundamental Frequency Change in Mandarin-Speaking Children with Cochlear Implants,"Huang, WT; Wong, LLN; Chen, F",2022,BRAIN SCIENCES,"Fundamental frequency (F0) provides the primary acoustic cue for lexical tone perception in tonal languages but remains poorly represented in cochlear implant (CI) systems. Currently, there is still a lack of understanding of sensitivity to F0 change in CI users who speak tonal languages. In the present study, just-noticeable differences (JNDs) of F0 contour and F0 level changes in Mandarin-speaking children with CIs were measured and compared with those in their age-matched normal-hearing (NH) peers. Results showed that children with CIs demonstrated significantly larger JND of F0 contour (JND-C) change and F0 level (JND-L) change compared to NH children. Further within-group comparison revealed that the JND-C change was significantly smaller than the JND-L change among children with CIs, whereas the opposite pattern was observed among NH children. No significant correlations were seen between JND-C change/JND-L change and age at implantation /duration of CI use. The contrast between children with CIs and NH children in sensitivity to F0 contour and F0 level change suggests different mechanisms of F0 processing in these two groups as a result of different hearing experiences.",,,10.3390/brainsci12040443,WOS:000785521700001,"TS=(""processing"" AND ""intonation"" AND ""tone"")",just noticeable differences of fundamental frequency change in mandarin speaking children with cochlear implants,"Huang, WT",doi:10.3390/brainsci12040443,"TS=(""lexical tone"" AND (recognition OR perception)) | TS=(""processing"" AND ""intonation"" AND ""tone"") | TS=(intonation AND (""lexical tone"" OR ""tone perception""))",2
Chinese-English Speakers' Perception of Pitch in Their Non-Tonal Language: Reinterpreting English as a Tonal-Like Language,"Ortega-Llebaria, M; Wu, ZH",2021,LANGUAGE AND SPEECH,"Changing the F0-contour of English words does not change their lexical meaning. However, it changes the meaning in tonal languages such as Mandarin. Given this important difference and knowing that words in the two languages of a bilingual lexicon interact, the question arises as to how Mandarin-English speakers process pitch in their bilingual lexicon. The few studies that addressed this question showed that Mandarin-English speakers did not perceive pitch in English words as native English speakers did. These studies, however, used English words as stimuli failing to examine nonwords and Mandarin words. Consequently, possible pre-lexical effects and L1 transfer were not ruled out. The present study fills this gap by examining pitch perception in Mandarin and English words and nonwords by Mandarin-English speakers and a group of native English controls. Results showed the tonal experience of Chinese-English speakers modulated their perception of pitch in their non-tonal language at both pre-lexical and lexical levels. In comparison to native English controls, tonal speakers were more sensitive to the acoustic salience of F0-contours in the pre-lexical processing due to top-down feedback. At the lexical level, Mandarin-English speakers organized words in their two languages according to similarity criteria based on both F0 and segmental information, whereas only the segmental information was relevant to the control group. These results in perception together with consistently reported production patterns in previous literature suggest that Mandarin-English speakers process pitch in English as if it was a one-tone language.",,,10.1177/0023830919894606,WOS:000507060400001,"TS=(""processing"" AND ""intonation"" AND ""tone"")",chinese english speakers perception of pitch in their non tonal language reinterpreting english as a tonal like language,"Ortega-Llebaria, M",doi:10.1177/0023830919894606,"TS=(""lexical tone"" AND (recognition OR perception)) | TS=(""processing"" AND ""intonation"" AND ""tone"") | TS=(""representation"" AND (""intonation"" OR ""prosody"")) | TS=(intonation AND (""lexical tone"" OR ""tone perception""))",2
Intonation processing increases task-specific fronto-temporal connectivity in tonal language speakers,"Chien, PJ; Friederici, AD; Hartwigsen, G; Sammler, D",2021,HUMAN BRAIN MAPPING,"Language comprehension depends on tight functional interactions between distributed brain regions. While these interactions are established for semantic and syntactic processes, the functional network of speech intonation - the linguistic variation of pitch - has been scarcely defined. Particularly little is known about intonation in tonal languages, in which pitch not only serves intonation but also expresses meaning via lexical tones. The present study used psychophysiological interaction analyses of functional magnetic resonance imaging data to characterise the neural networks underlying intonation and tone processing in native Mandarin Chinese speakers. Participants categorised either intonation or tone of monosyllabic Mandarin words that gradually varied between statement and question and between Tone 2 and Tone 4. Intonation processing induced bilateral fronto-temporal activity and increased functional connectivity between left inferior frontal gyrus and bilateral temporal regions, likely linking auditory perception and labelling of intonation categories in a phonological network. Tone processing induced bilateral temporal activity, associated with the auditory representation of tonal (phonemic) categories. Together, the present data demonstrate the breadth of the functional intonation network in a tonal language including higher-level phonological processes in addition to auditory representations common to both intonation and tone.",,,10.1002/hbm.25214,WOS:000573645300001,"TS=(""representation"" AND (""intonation"" OR ""prosody""))",intonation processing increases task specific fronto temporal connectivity in tonal language speakers,"Chien, PJ",doi:10.1002/hbm.25214,"TS=(""lexical tone"" AND (recognition OR perception)) | TS=(""processing"" AND ""intonation"" AND ""tone"") | TS=(""representation"" AND (""intonation"" OR ""prosody"")) | TS=(intonation AND (""lexical tone"" OR ""tone perception""))",3
Hemispheric roles in the perception of speech prosody,"Gandour, J; Tong, YX; Wong, D; Talavage, T; Dzemidzic, M; Xu, YS; Li, XJ; Lowe, M",2004,NEUROIMAGE,"Speech prosody is processed in neither a single region nor a specific hemisphere, but engages multiple areas comprising a large-scale spatially distributed network in both hemispheres. It remains to be elucidated whether hemispheric lateralization is based on higher-level prosodic representations or lower-level encoding of acoustic cues, or both. A cross-language (Chinese; English) fMRI study was conducted to examine brain activity elicited by selective attention to Chinese intonation (I) and tone (T) presented in three-syllable (I3, T3) and one-syllable (I1, T1) utterance pairs in a speeded response, discrimination paradigm. The Chinese group exhibited greater activity than the English in a left inferior parietal region across tasks (I1, I3, T1, T3). Only the Chinese group exhibited a leftward asymmetry in inferior parietal and posterior superior temporal (I1, I3, T1, T3), anterior temporal (I1, I3, T1, T3), and frontopolar (I1, I3) regions. Both language groups shared a rightward asymmetry in the mid portions of the superior temporal sulcus and middle frontal gyrus irrespective of prosodic unit or temporal interval. Hemispheric laterality effects enable us to distinguish brain activity associated with higher-order prosodic representations in the Chinese group from that associated with lower-level acoustic/auditory processes that are shared among listeners regardless of language experience. Lateralization is influenced by language experience that shapes the internal prosodic representation of an external auditory signal. We propose that speech prosody perception is mediated primarily by the RH, but is left-lateralized to task-dependent regions when language processing is required beyond the auditory analysis of the complex sound. (C) 2004 Elsevier Inc. All rights reserved.",,,10.1016/j.neuroimage.2004.06.004,WOS:000223645000037,"TS=(""representation"" AND (""intonation"" OR ""prosody""))",hemispheric roles in the perception of speech prosody,"Gandour, J",doi:10.1016/j.neuroimage.2004.06.004,"TS=(""processing"" AND ""intonation"" AND ""tone"") | TS=(""representation"" AND (""intonation"" OR ""prosody"")) | TS=(intonation AND (""lexical tone"" OR ""tone perception""))",2
Rise and fall: Effects of tone and intonation on spoken word recognition in early childhood,"Singh, L; Chee, M",2016,JOURNAL OF PHONETICS,"A crucial component of word learning is the ability to recognize words in spite of the varying forms they assume. This may be particularly challenging in tone languages as learners have to develop tone representations in the face of intonational variation in order to accurately recognize words. The effects of intonational variation on word recognition of tone-marked words in Mandarin Chinese were investigated in toddlers and preschoolers using a cross-sectional design. Participants were presented with known words where intonation (question/statement) and tone (rising/falling) were independently manipulated. Results demonstrated that word recognition in toddlers was heavily influenced by changes in the pitch contour of a tone due to intonational variation. In contrast, preschool were able to recognize tone-marked words regardless of simultaneous intonational variation, demonstrating a comparatively robust representation of lexical tone. Results chart an evolution in integrating pitch cues to tone and intonation over the first few years of life. (C) 2016 Elsevier Ltd. All rights reserved.",,,10.1016/j.wocn.2015.12.005,WOS:000372394300007,"TS=(""representation"" AND (""intonation"" OR ""prosody""))",rise and fall effects of tone and intonation on spoken word recognition in early childhood,"Singh, L",doi:10.1016/j.wocn.2015.12.005,"TS=(""lexical tone"" AND (recognition OR perception)) | TS=(""representation"" AND (""intonation"" OR ""prosody"")) | TS=(""spoken word recognition"" AND intonation) | TS=(""spoken word recognition"" AND prosody) | TS=(intonation AND (""lexical tone"" OR ""tone perception""))",2
The Effects of Lexical Pitch Accent on Infant Word Recognition in Japanese,"Ota, M; Yamane, N; Mazuka, R",2018,FRONTIERS IN PSYCHOLOGY,"Learners of lexical tone languages (e.g., Mandarin) develop sensitivity to tonal contrasts and recognize pitch-matched, but not pitch-mismatched, familiar words by 11 months. Learners of non-tone languages (e.g., English) also show a tendency to treat pitch patterns as lexically contrastive up to about 18 months. In this study, we examined if this early-developing capacity to lexically encode pitch variations enables infants to acquire a pitch accent system, in which pitch-based lexical contrasts are obscured by the interaction of lexical and non-lexical (i.e., intonational) features. Eighteen 17-month-olds learning Tokyo Japanese were tested on their recognition of familiar words with the expected pitch or the lexically opposite pitch pattern. In early trials, infants were faster in shifting their eyegaze from the distractor object to the target object than in shifting from the target to distractor in the pitch-matched condition. In later trials, however, infants showed faster distractor-to-target than target-to-distractor shifts in both the pitch-matched and pitch-mismatched conditions. We interpret these results to mean that, in a pitch-accent system, the ability to use pitch variations to recognize words is still in a nascent state at 17 months.",,,10.3389/fpsyg.2017.02354,WOS:000419922400001,"TS=(""representation"" AND (""intonation"" OR ""prosody""))",the effects of lexical pitch accent on infant word recognition in japanese,"Ota, M",doi:10.3389/fpsyg.2017.02354,"TS=(""lexical tone"" AND (recognition OR perception)) | TS=(""representation"" AND (""intonation"" OR ""prosody"")) | TS=(intonation AND (""lexical tone"" OR ""tone perception""))",2
Prosody in parsing morphologically complex words: Neurophysiological evidence,"Koester, D",2014,COGNITIVE NEUROPSYCHOLOGY,"Little is known about the neurophysiological correlates of lexical prosody in the comprehension of compound words, i.e., morphologically complex words. Here, it is investigated whether lexical prosody influences the decomposition of spoken compound words. In order to explore the neurophysiological correlates (event-related potentials, ERP) of a compound prosody, German native speakers had to judge the number agreement between numerals and nouns which did or did not agree in 50% of the cases. Importantly, the nouns carried either a compound or non-compound (single noun) prosody. The compound prosody led to increased reaction times (RTs) and reduced judgement accuracy. Critically, number violations for words with a compound prosody elicited an increased ERP negativity that was delayed by about 600ms relative to a left-anterior negativity elicited by number violations for a single noun prosody. The ERP effect for the compound prosody preceded the according behavioural response by about 200ms and the ERP peak latency effect correlated with the RT effect. These findings suggest that the ERP effect for the compound prosody could be functionally related to the accurate judgement performance for the compound prosody. The results suggest, more generally, that prosody plays a critical role in auditory compound comprehension and morphological processing.",,,10.1080/02643294.2013.857649,WOS:000335196800008,"TS=(""representation"" AND (""intonation"" OR ""prosody""))",prosody in parsing morphologically complex words neurophysiological evidence,"Koester, D",doi:10.1080/02643294.2013.857649,"TS=(""mental lexicon"" AND (""intonation"" OR ""prosody"")) | TS=(""representation"" AND (""intonation"" OR ""prosody""))",2
Segmentation and selection of appropriate Chinese characters in writing place names in Japanese,"Tokimoto, S; d'Arcais, GBF",2001,JOURNAL OF PSYCHOLINGUISTIC RESEARCH,"This paper explores the relation between an unknown place name written in hiragana (a Japanese syllabary) and its corresponding written representation in kanji (Chinese characters). We propose three principles as those operating in the selection of the appropriate Chinese characters in writing unknown place names. The three principles are concerned with the combination of on and kun readings (zyuubako-yomi), the number of segmentations. and the bimoraicity characteristics of kanji chosen. We performed two experiments to test the principles: the results supported our hypotheses. These results have some implications for the structure of the Japanese mental lexicon, for the processing load in the use of Chinese characters, and for Japanese prosody and morphology.",,,10.1023/a:1010373727869,WOS:000168772000002,"TS=(""representation"" AND (""intonation"" OR ""prosody""))",segmentation and selection of appropriate chinese characters in writing place names in japanese,"Tokimoto, S",doi:10.1023/a:1010373727869,"TS=(""mental lexicon"" AND (""intonation"" OR ""prosody"")) | TS=(""representation"" AND (""intonation"" OR ""prosody""))",2
Atypical patterns of tone production in tone-language-speaking children with autism,"Xu, KY; Yan, JT; Ma, CL; Chang, XH; Chien, YF",2022,FRONTIERS IN PSYCHOLOGY,"Speakers with autism spectrum disorder (ASD) are found to exhibit atypical pitch patterns in speech production. However, little is known about the production of lexical tones (T1, T2, T3, T4) as well as neutral tones (T1N, T2N, T3N, T4N) by tone-language speakers with ASD. Thus, this study investigated the height and shape of tones produced by Mandarin-speaking children with ASD and their age-matched typically developing (TD) peers. A pronunciation experiment was conducted in which the participants were asked to produce reduplicated nouns. The findings from the acoustic analyses showed that although ASD children generally produced both lexical tones and neutral tones with distinct tonal contours, there were significant differences between the ASD and TD groups for tone height and shape for T1/T1N, T3/T3N, and T4/T4N. However, we did not find any difference in T2/T2N. These data implied that the atypical acoustic pattern in the ASD group could be partially due to the suppression of the F0 range. Moreover, we found that ASD children tended to produce more errors for T2/T2N, T3/T3N than for T1/T1N, T4/T4N. The pattern of tone errors could be explained by the acquisition principle of pitch, similarities among different tones, and tone sandhi. We thus concluded that deficits in pitch processing could be responsible for the atypical tone pattern of ASD children, and speculated that the atypical tonal contours might also be due to imitation deficits. The present findings may eventually help enhance the comprehensive understanding of the representation of atypical pitch patterns in ASD across languages.",,,10.3389/fpsyg.2022.1023205,WOS:000886002800001,"TS=(""representation"" AND (""intonation"" OR ""prosody""))",atypical patterns of tone production in tone language speaking children with autism,"Xu, KY",doi:10.3389/fpsyg.2022.1023205,"TS=(""processing"" AND ""intonation"" AND ""tone"") | TS=(""representation"" AND (""intonation"" OR ""prosody""))",2
"Score-Informed Analysis of Tuning, Intonation, Pitch Modulation, and Dynamics in Jazz Solos","Abesser, J; Frieler, K; Cano, E; Pfleiderer, M; Zaddach, WG",2017,IEEE-ACM TRANSACTIONS ON AUDIO SPEECH AND LANGUAGE PROCESSING,"Both the collection and analysis of large music repertoires constitute major challenges within musicological disciplines such as jazz research. Automatic methods of music analysis based on audio signal processing have the potential to assist researchers and to accelerate the transcription and analysis of music recordings significantly. In this paper, we propose a framework for analyzing improvised monophonic solos in multi-instrumental jazz recordings with special focus on reed and brass instruments. The analysis algorithms rely on prior score-information, which is taken from high quality manual solo transcriptions. Following an initial solo and accompaniment source separation, we propose algorithms for tone-wise extraction of fundamental frequency and intensity contours. Based on this fine-grained representation of recorded jazz solos, we perform several exploratory experiments motivated by questions relating to jazz research in order to analyze the use of expressive stylistic devices such as intonation, pitch modulation, and dynamics in jazz solos. The results show that a score-informed audio analysis of jazz recordings can provide valuable insights into the individual stylistic characteristics of jazz musicians.",,,10.1109/taslp.2016.2627186,WOS:000391491700013,"TS=(""representation"" AND (""intonation"" OR ""prosody""))",score informed analysis of tuning intonation pitch modulation and dynamics in jazz solos,"Abesser, J",doi:10.1109/taslp.2016.2627186,"TS=(""processing"" AND ""intonation"" AND ""tone"") | TS=(""representation"" AND (""intonation"" OR ""prosody""))",2
Prosody-assisted head-driven access to spoken German compounds,"Isel, F; Gunter, TC; Friederici, AD",2003,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION,"Auditory processing of German 2-noun compound words was investigated with 328 participants in 4 experiments by monitoring semantic priming effects of the left constituents of the compound words. The authors demonstrated that there is no primacy of the left constituents in accessing auditorily presented German compound words in the mental lexicon. A clear priming effect of left constituents occurred only for compound words with a transparent right constituent that is the head of compound words in Germanic languages. The data suggest that the access to German compounds in the auditory domain involves 2 temporally overlapping routes: direct and decompositional. The prosodic structure (i.e., the duration) of the first morphemes of compound words appears to be a determining factor for activation of the decompositional route.",,,10.1037/0278-7393.29.2.277,WOS:000181875500009,"TS=(""representation"" AND (""intonation"" OR ""prosody""))",prosody assisted head driven access to spoken german compounds,"Isel, F",doi:10.1037/0278-7393.29.2.277,"TS=(""mental lexicon"" AND (""intonation"" OR ""prosody"")) | TS=(""representation"" AND (""intonation"" OR ""prosody""))",2
TONAL PRIMING BEYOND TONICS,"Marmel, F; Tillmann, B",2009,MUSIC PERCEPTION,"THE MUSICAL PRIMING PARADIGM ALLOWS FOR INVESTIGATION of listeners' expectations based on their implicit knowledge of tonal stability. To date, priming data are limited to reports of facilitated processing for tonic over nontonic events. The special status of the tonic as a cognitive reference point brings into question the subtlety of listeners' tonal knowledge: Is the facilitated processing observed in priming studies limited to tonic events, or is tone processing influenced by subtler tonal contrasts? The present study investigated tonal priming for mediants (the third scale degree) over leading tones (the seventh scale degree) presented in melodic contexts. Experiment 1 used a timbre discrimination task and Experiment 2 an intonation task. Facilitated processing was observed for the more tonally stable mediants over the less stable leading tones, thus showing that priming effects are not limited to pairs of tonal degrees including the tonic. This finding emphasizes the subtlety of nonexpert listeners' tonal knowledge.",,,10.1525/mp.2009.26.3.211,WOS:000262861800005,"TS=(""representation"" AND (""intonation"" OR ""prosody""))",tonal priming beyond tonics,"Marmel, F",doi:10.1525/mp.2009.26.3.211,"TS=(""processing"" AND ""intonation"" AND ""tone"") | TS=(""representation"" AND (""intonation"" OR ""prosody""))",2
Perception of Different Tone Contrasts at Sub-Lexical and Lexical Levels by Dutch Learners of Mandarin Chinese,"Zou, T; Caspers, J; Chen, YY",2022,FRONTIERS IN PSYCHOLOGY,"This study explores the difficulties in distinguishing different lexical tone contrasts at both sub-lexical and lexical levels for beginning and advanced Dutch learners of Mandarin, using a sequence-recall task and an auditory lexical decision task. In both tasks, the Tone 2-Tone 3 contrast is most prone to errors for both groups of learners. A significant improvement in the advanced group was found for this tone contrast in the sub-lexical sequence recall task, but not in the lexical decision task. This is taken as evidence that utilizing tones in on-line spoken word recognition is more complex and demanding for L2 learners than in a memory-based task. The results of the lexical decision task also revealed that advanced learners have developed a stronger sensitivity to Tone 1 compared to the other three tones, with Tone 4 showing the least sensitivity. These findings suggest different levels of robustness and distinctiveness for the representation of different lexical tones in L2 learners' lexicon and consequently different levels of proficiency in integrating tones for lexical processing. The observed patterns of difficulty are potentially related to the acoustic characteristics of different lexical tone contrasts as well as to the interference of the suprasegmental features of learner's native language (i.e., the tonal contrasts of Dutch intonation) on the acquisition of the Mandarin lexical tone contrasts.",,,10.3389/fpsyg.2022.891756,WOS:000813299300001,"TS=(""representation"" AND (""intonation"" OR ""prosody""))",perception of different tone contrasts at sub lexical and lexical levels by dutch learners of mandarin chinese,"Zou, T",doi:10.3389/fpsyg.2022.891756,"TS=(""lexical tone"" AND (recognition OR perception)) | TS=(""processing"" AND ""intonation"" AND ""tone"") | TS=(""representation"" AND (""intonation"" OR ""prosody"")) | TS=(""spoken word recognition"" AND intonation) | TS=(intonation AND (""lexical tone"" OR ""tone perception""))",3
Human cortical encoding of pitch in tonal and non-tonal languages,"Li, YN; Tang, C; Lu, JF; Wu, JS; Chang, EF",2021,NATURE COMMUNICATIONS,"Languages can use a common repertoire of vocal sounds to signify distinct meanings. In tonal languages, such as Mandarin Chinese, pitch contours of syllables distinguish one word from another, whereas in non-tonal languages, such as English, pitch is used to convey intonation. The neural computations underlying language specialization in speech perception are unknown. Here, we use a cross-linguistic approach to address this. Native Mandarin- and English- speaking participants each listened to both Mandarin and English speech, while neural activity was directly recorded from the non-primary auditory cortex. Both groups show language-general coding of speaker-invariant pitch at the single electrode level. At the electrode population level, we find language-specific distribution of cortical tuning parameters in Mandarin speakers only, with enhanced sensitivity to Mandarin tone categories. Our results show that speech perception relies upon a shared cortical auditory feature processing mechanism, which may be tuned to the statistics of a given language. Different languages rely on different vocal sounds to convey meaning. Here the authors show that language-general coding of pitch occurs in the non-primary auditory cortex for both tonal (Mandarin Chinese) and non-tonal (English) languages, with some language specificity on the population level.",,,10.1038/s41467-021-21430-x,WOS:000621489800003,"TS=(""representation"" AND (""intonation"" OR ""prosody""))",human cortical encoding of pitch in tonal and non tonal languages,"Li, YN",doi:10.1038/s41467-021-21430-x,"TS=(""processing"" AND ""intonation"" AND ""tone"") | TS=(""representation"" AND (""intonation"" OR ""prosody""))",2
