paper_id,title,abstract,keywords,relevance,relevance_reason,tags,research_question,method,key_claim_about_representation,notes
P0015,Intonation processing increases task-specific fronto-temporal connectivity in tonal language speakers,"Language comprehension depends on tight functional interactions between distributed brain regions. While these interactions are established for semantic and syntactic processes, the functional network of speech intonation - the linguistic variation of pitch - has been scarcely defined. Particularly little is known about intonation in tonal languages, in which pitch not only serves intonation but also expresses meaning via lexical tones. The present study used psychophysiological interaction analyses of functional magnetic resonance imaging data to characterise the neural networks underlying intonation and tone processing in native Mandarin Chinese speakers. Participants categorised either intonation or tone of monosyllabic Mandarin words that gradually varied between statement and question and between Tone 2 and Tone 4. Intonation processing induced bilateral fronto-temporal activity and increased functional connectivity between left inferior frontal gyrus and bilateral temporal regions, likely linking auditory perception and labelling of intonation categories in a phonological network. Tone processing induced bilateral temporal activity, associated with the auditory representation of tonal (phonemic) categories. Together, the present data demonstrate the breadth of the functional intonation network in a tonal language including higher-level phonological processes in addition to auditory representations common to both intonation and tone.",,Yes,The paper investigates lexical tone in relation to intonation or prosodic context.,,,,,
P0016,Social cognition in the blind brain: A coordinate-based meta-analysis,"Social cognition skills are typically acquired on the basis of visual information (e.g., the observation of gaze, facial expressions, gestures). In light of this, a critical issue is whether and how the lack of visual experience affects neurocognitive mechanisms underlying social skills. This issue has been largely neglected in the literature on blindness, despite difficulties in social interactions may be particular salient in the life of blind individuals (especially children). Here we provide a meta-analysis of neuroimaging studies reporting brain activations associated to the representation of self and others' in early blind individuals and in sighted controls. Our results indicate that early blindness does not critically impact on the development of the ""social brain,"" with social tasks performed on the basis of auditory or tactile information driving consistent activations in nodes of the action observation network, typically active during actual observation of others in sighted individuals. Interestingly though, activations along this network appeared more left-lateralized in the blind than in sighted participants. These results may have important implications for the development of specific training programs to improve social skills in blind children and young adults.",,No,"The paper does not address prosody, lexical tone, or spoken word recognition.",,,,,
P0017,Cortical haemodynamic responses predict individual ability to recognise vocal emotions with uninformative pitch cues but do not distinguish different emotions,"We investigated the cortical representation of emotional prosody in normal-hearing listeners using functional near-infrared spectroscopy (fNIRS) and behavioural assessments. Consistent with previous reports, listeners relied most heavily on F0 cues when recognizing emotion cues; performance was relatively poor-and highly variable between listeners-when only intensity and speech-rate cues were available. Using fNIRS to image cortical activity to speech utterances containing natural and reduced prosodic cues, we found right superior temporal gyrus (STG) to be most sensitive to emotional prosody, but no emotion-specific cortical activations, suggesting that while fNIRS might be suited to investigating cortical mechanisms supporting speech processing it is less suited to investigating cortical haemodynamic responses to individual vocal emotions. Manipulating emotional speech to render F0 cues less informative, we found the amplitude of the haemodynamic response in right STG to be significantly correlated with listeners' abilities to recognise vocal emotions with uninformative F0 cues. Specifically, listeners more able to assign emotions to speech with degraded F0 cues showed lower haemodynamic responses to these degraded signals. This suggests a potential objective measure of behavioural sensitivity to vocal emotions that might benefit neurodiverse populations less sensitive to emotional prosody or hearing-impaired listeners, many of whom rely on listening technologies such as hearing aids and cochlear implants-neither of which restore, and often further degrade, the F0 cues essential to parsing emotional prosody conveyed in speech.",,Maybe,The paper addresses prosody or spoken word recognition in a way potentially transferable to tonal processing.,,,,,
P0018,Overt speech feasibility using continuous functional magnetic resonance imaging: Isolation of areas involved in phonology and prosody,"To avoid motion artifacts, almost all speech-related functional magnetic resonance imagings (fMRIs) are performed covertly to detect language activations. This method may be difficult to execute, especially by patients with brain tumors, and does not allow the identification of phonological areas. Here, we aimed to evaluate overt task feasibility. Thirty-three volunteers participated in this study. They performed two functional sessions of covert and overt generation of a short sentence semantically linked with a word. Three main contrasts were performed: Covert and Overt for the isolation of language-activated areas, and Overt > Covert for the isolation of the motor cortical activation of speech. fMRI data preprocessing was performed with and without unwarping, and with and without regression of movement parameters as confounding variables. All types of results were compared to each other. For the Overt contrast, Dice coefficients showed strong overlap between each pair of types of results: 0.98 for the pair with and without unwarping, and 0.9 for the pair with and without movement parameter regression. The Overt > Covert contrast allowed isolation of motor laryngeal activations with high statistical reliability and revealed the right-lateralized temporal activity related to acoustic feedback. Overt speaking during magnetic resonance imaging induced few artifacts and did not significantly affect the results, allowing the identification of areas involved in primary motor control and prosodic regulation of speech. Unwarping and motion artifact regression in the postprocessing step, seem to not be necessary. Changes in lateralization of cortical activity by overt speech shall be explored before using these tasks for presurgical mapping.",,Maybe,The paper addresses prosody or spoken word recognition in a way potentially transferable to tonal processing.,,,,,
P0019,Music and lexical tone perception in chinese adult cochlear implant users,"Objectives/Hypothesis: The present study's aim was to assess the music perception ability for Chinese adult cochlear implant users and to investigate the correlation between music and Mandarin-Chinese lexical tone perception. Study Design: Case-control study. Methods: Twenty normal-hearing and 21 adult cochlear implant users participated in the Musical Sounds in Cochlear Implants (MuSIC) perception test, including six objective and two subjective musical subtests. The comparison of music perception performance was made between normal-hearing and cochlear implant subjects. Sixteen of the 21 cochlear implant users also performed a tone identification test to investigate the correlation between music and tone perception. Results: Cochlear implant users performed significantly worse than normal-hearing subjects on pitch discrimination, instrument identification, and instrument detection tests, whereas close to normal-hearing subjects on melody discrimination, chords discrimination, rhythm discrimination, and emotion and dissonance rating subtests. Lexical tone perception was significantly correlated with pitch discrimination, melody discrimination, and instrument identification tests. Duration of hearing aid use was found to be correlated with pitch discrimination ability of cochlear implant users. Conclusions: Chinese postlingually deafened cochlear implant users performed significantly poorer in pitch discrimination and timbre perception tasks than normal-hearing listeners. Lexical tone perception was found to be significantly correlated with music pitch perception, supporting the notion that tone and music perception may share a similar pitch perception mechanism.",,No,"The paper does not address prosody, lexical tone, or spoken word recognition.",,,,,
P0020,Effects of the electrode location on tonal discrimination and speech perception of mandarin-speaking patients with a cochlear implant,"Objectives/Hypothesis: This study assessed the effects of varying the electrode location on tonal discrimination and speech perception in Mandarin Chinese-speaking patients. Study Design: A controlled study with six experimental conditions. Methods: Seven Mandarin-speaking listeners who received a MED-EL cochlear implant (CI), ranging in age from 12.88 to 36.43 years (mean, 25.51 years), with an average of 5.28 years of device experience, participated this study. To evaluate the effects of electrode location, six experimental conditions each with the switch off at six different electrodes were designed. Identification tests of Mandarin lexical tones and words were performed. Results: Among experimental conditions with electrode lengths of 31, 23.8, and 16.6 mm, the CI subjects exhibited improved vowel and consonant identification in the condition of 31 mm, reflecting the apical location of electrodes. Specifically, the improvement was observed in the identification score for the vowel backness and height, as well as for the consonant place of articulation. Comparison among three settings with a same electrode length of 12.6 mm and the setting with stimulation to the midregion of the cochlea produces better words as well as the vowel and consonant identification compared with stimulation to basal and apical regions. However, no significant difference was observed for the lexical tone identification among conditions with different electrode location and stimulating region. Conclusions: Less mismatch of the frequency-to-place alignment may account for the improvement of word identification in conditions with electrodes coverage to more apical location; and in conditions where the mid-region of the cochlea were stimulated. Laryngoscope, 2012",,No,"The paper does not address prosody, lexical tone, or spoken word recognition.",,,,,
P0021,Perceptual Separation of Sensorineural Hearing Loss and Auditory Neuropathy Spectrum Disorder,"Objectives/Hypothesis: The present study aimed to examine whether the response patterns to the chimeric lexical tone tokens, combined with their pure tone audiometry (PTA) results, could separate listeners with sensorineural hearing loss (SNHL) from listeners with auditory neuropathy spectrum disorder (ANSD). Study Design: Case-control study. Methods: Forty-three SNHL subjects and 46 ANSD subjects participated in a Mandarin lexical tone perception test using original and chimeric tone tokens. Ten sets of monosyllables, with four tone patterns for each, were processed through a 16-channel chimeric synthesizer in which a temporal envelope (E) from a monosyllabic word of one tone was paired with a fine structure (FS) from the same monosyllable of other tones. Results: Significantly negative correlations were present between tone perception scores and PTA0.5-4 kHz for both SNHL (P < 0.001) and ANSD (P < 0.001) subjects. Overall, 72.4%, 66.4%, and 46.3% of the tone responses were consistent with FS for the SNHL subjects with mild, moderate, and severe degree of hearing loss, respectively; and 28.4%, 23.1%, and 22.7% were consistent with FS for the ANSD subjects, with the equivalent degree of hearing loss. Similarly, 17.6%, 24.2%, and 37.7% of the tone responses were consistent with E for the SNHL subjects with mild, moderate, and severe degree of hearing loss, respectively; and 45.5%, 44.3%, and 36.5% were consistent with E for the ANSD subjects. Conclusion: Subjects with SNHL and ANSD may be separated by representing their FS- and E-consistent tone responses as a function of their pure-tone hearing thresholds.",,No,"The paper does not address prosody, lexical tone, or spoken word recognition.",,,,,
P0022,Voice emotion recognition by Mandarin-speaking pediatric cochlear implant users in Taiwan,"Objectives To explore the effects of obligatory lexical tone learning on speech emotion recognition and the cross-culture differences between United States and Taiwan for speech emotion understanding in children with cochlear implant. Methods This cohort study enrolled 60 cochlear-implanted (cCI) Mandarin-speaking, school-aged children who underwent cochlear implantation before 5 years of age and 53 normal-hearing children (cNH) in Taiwan. The emotion recognition and the sensitivity of fundamental frequency (F0) changes for those school-aged cNH and cCI (6-17 years old) were examined in a tertiary referred center. Results The mean emotion recognition score of the cNH group was significantly better than the cCI. Female speakers' vocal emotions are more easily to be recognized than male speakers' emotion. There was a significant effect of age at test on voice recognition performance. The average score of cCI with full-spectrum speech was close to the average score of cNH with eight-channel narrowband vocoder speech. The average performance of voice emotion recognition across speakers for cCI could be predicted by their sensitivity to changes in F0. Conclusions Better pitch discrimination ability comes with better voice emotion recognition for Mandarin-speaking cCI. Besides the F0 cues, cCI are likely to adapt their voice emotion recognition by relying more on secondary cues such as intensity and duration. Although cross-culture differences exist for the acoustic features of voice emotion, Mandarin-speaking cCI and their English-speaking cCI peer expressed a positive effect for age at test on emotion recognition, suggesting the learning effect and brain plasticity. Therefore, further device/processor development to improve presentation of pitch information and more rehabilitative efforts are needed to improve the transmission and perception of voice emotion in Mandarin. Level of evidence 3.",,No,"The paper does not address prosody, lexical tone, or spoken word recognition.",,,,,
P0023,The Linguistic Pathways Model: Capturing the Multiple Dimensions of Reading Development,"The importance of oral language skills in reading comprehension is widely recognized in contemporary models. Building on this foundation, we propose the Linguistic Pathways Model. In this model, we illuminate mechanistic and developmental detail by which individual components of oral language support reading comprehension and embrace the multiple dimensions across which reading development plays out. This is the level of theoretical detail needed to inform instruction in the classroom that is most likely to propel children on strong trajectories of reading development. We illustrate the value of this model by focusing on syntactic skills-the ability to understand and manipulate sentence structure. We hypothesize two core pathways by which syntactic skills impact reading comprehension. In the syntax-to-lexicon pathway, syntactic skills influence how readers construct lexical representations, ultimately impacting reading comprehension. In the syntax-to-sentence pathway, syntactic skills affect reading comprehension by shaping how readers parse sentences and generate predictions about upcoming information. In each, we elaborate on mechanisms of these influences. We also detail the nature of developmental effects, including changes in relative reliance on skills over time and the temporal order of effects, and the interactions between the two. This work provides a new theoretical model for understanding the precise pathways through which individual oral language skills contribute to reading comprehension development, making predictions that are testable in classrooms.",,No,"The paper does not address prosody, lexical tone, or spoken word recognition.",,,,,
P0024,"Aphasias and theories of linguistic representation: representing frequency, hierarchy, constructions, and sequential structure","Error and preservation patterns in aphasic speech show that the brain makes use of the frequencies of words, constructions, and collocations, as well as category membership and hierarchical structure, during language processing. Frequency effects are evident along two quasi-independent axes: syntagmatic (the sequential context, e.g., deploying correct functors, categories, and utterance-level intonation) and paradigmatic (the choice at any given linguistic level, e.g., selecting content words and modifying structures). Frequency along the syntagmatic axis is shown to play a role in errors involving idioms, constructions, and collocations that cross major phrasal boundaries. Along the paradigmatic axis, frequency affects errors involving lexical selection, competing functors and inflected forms (e.g., using plural where singular is required). An account of language representation and processing that encompasses frequency as well as categorization and structure is compatible with what we know about how the brain works: increased experience with a linguistic structure results in increased activationand strengtheningof the neural networks involved in processing that structure. These claims are supported by the literature on experimental work in normal speakers. Parsimony, plus the unexamined assumption that mental representation is like a written record (entries either present or absent, structure displayable in two dimensions), has been a misleading guide to modeling language representation. The substantial redundancy in representations and processing that is introduced by incorporating both frequency-based and hierarchy-based information is in fact appropriate for the brain as a fast, reliable, massively parallel error-correcting network with very large storage capacity and gradient representation strength. (C) 2013 John Wiley & Sons, Ltd. WIREs Cogn Sci 2013, 4:651-663. doi: 10.1002/wcs.1257 Conflict of interest: The authors have declared no conflicts of interest for this article. For further resources related to this article, please visit the WIREs website.",,Maybe,The paper addresses prosody or spoken word recognition in a way potentially transferable to tonal processing.,,,,,
P0025,The role of prosody in the mental lexicon,"Current models of spoken word recognition take into account factors such as word frequency, word onset cohort size, and phonological neighborhood density. Using the word onset gating technique we tested word recognition when bandpass filtering was used to allow subjects to hear the full prosodic pattern of a word (number of syllables and syllabic stress), deprived of segmental information beyond that contained in the onset gate. Subjects also heard either word onsets plus duration information or only word onsets. Results suggest that word prosody is represented in the mental lexicon and is effectively used by listeners in spoken word recognition. (C) 1999 Academic Press.",,Maybe,The paper addresses prosody or spoken word recognition in a way potentially transferable to tonal processing.,,,,,
P0026,Pitch and timing abilities in inherited speech and language impairment,"Members of the KE family who suffer from an inherited developmental speech-and-language disorder and normal, age-matched, controls were tested on musical abilities, including perception and production of pitch and rhythm. Affected family members were not deficient in either the perception or production of pitch, whether this involved either single notes or familiar melodies. However, they were deficient in both the perception and production of rhythm in both vocal and manual modalities. It is concluded that intonation abilities are not impaired in the affected family members, whereas their timing abilities are impaired. Neither their linguistic nor oral praxic deficits can be at the root of their impairment in timing; rather, the reverse may be true, (C) 2000 Academic Press.",,Maybe,The paper addresses prosody or spoken word recognition in a way potentially transferable to tonal processing.,,,,,
